X,Y,X_scaled,Y_scaled,Bearing
-351,-351,-322.92,-34.96,186.17889657749714
-355,-355,-326.6,-61.64,190.68785290703187
-356,-356,-327.52000000000004,-72.68,192.51176553847233
-357,-357,-328.44,-91.08,195.49927537650083
-358,-358,-329.36,-103.04,197.3722484840924
-358,-358,-329.36,-121.44000000000001,200.2396913696183
-357,-357,-328.44,-132.48000000000002,201.96724340681288
-354,-354,-325.68,-161.0,206.3055024223979
-348,-348,-320.16,-189.52,210.6235820248539
-346,-346,-318.32,-197.8,211.85629226300122
-345,-345,-317.40000000000003,-198.72,212.0501455267212
-347,-347,-319.24,-199.64000000000001,212.0202228294852
-347,-347,-319.24,-198.72,211.90137127446943
-346,-346,-318.32,-198.72,211.9756036995836
-346,-346,-318.32,-198.72,211.9756036995836
-343,-343,-315.56,-207.0,213.26394044414022
-340,-340,-312.8,-225.4,215.77607771789465
-322,-322,-296.24,-274.16,222.7832056592598
-311,-311,-286.12,-293.48,225.7275263513507
-295,-295,-271.40000000000003,-318.32,229.54905175959678
-290,-290,-266.8,-329.36,230.99059471792478
-275,-275,-253.0,-349.6,234.10733431225438
-269,-269,-247.48000000000002,-357.88,235.33549411468664
-255,-255,-234.60000000000002,-374.44,237.93139040010885
-234,-234,-215.28,-395.6,241.44558444349659
-225,-225,-207.0,-405.72,242.96913974015698
-216,-216,-198.72,-413.08000000000004,244.30923307116495
-214,-214,-196.88,-413.08000000000004,244.51684483276753
-214,-214,-196.88,-414.0,244.5663162536045
-215,-215,-197.8,-413.08000000000004,244.41294889597717
-215,-215,-197.8,-414.0,244.46256560936365
-215,-215,-197.8,-413.08000000000004,244.41294889597717
-208,-208,-191.36,-418.6,245.43282867939868
-167,-167,-153.64000000000001,-450.8,251.1800517336304
-142,-142,-130.64000000000001,-463.68,254.265028366329
-111,-111,-102.12,-480.24,257.99522444227887
-101,-101,-92.92,-484.84000000000003,259.1507692743789
-82,-82,-75.44,-491.28000000000003,261.26996376559003
-71,-71,-65.32000000000001,-494.96000000000004,262.48210446356836
-29,-29,-26.68,-506.92,266.98721249581666
4,4,3.68,-512.44,270.41145274399173
20,20,18.400000000000002,-513.36,272.0527334414826
42,42,38.64,-517.0400000000001,274.27394609759693
49,49,45.080000000000005,-516.12,274.99177587028714
49,49,45.080000000000005,-515.2,275.00064459755845
49,49,45.080000000000005,-515.2,275.00064459755845
49,49,45.080000000000005,-517.0400000000001,274.98293846578684
49,49,45.080000000000005,-517.0400000000001,274.98293846578684
51,51,46.92,-517.0400000000001,275.1852365799598
96,96,88.32000000000001,-516.12,279.71056926601347
130,130,119.60000000000001,-512.44,283.13727405324374
186,186,171.12,-498.64000000000004,288.9408586726262
205,205,188.6,-493.12,290.9299874818485
224,224,206.08,-486.68,292.9497646926452
232,232,213.44,-482.08000000000004,293.88127601760897
247,247,227.24,-474.72,295.57960719351337
261,261,240.12,-467.36,297.19317081577964
271,271,249.32000000000002,-462.76000000000005,298.31433940243113
285,285,262.2,-453.56,300.0319193941275
287,287,264.04,-450.8,300.35811545876663
288,288,264.96000000000004,-451.72,300.3940974715745
288,288,264.96000000000004,-451.72,300.3940974715745
287,287,264.04,-451.72,300.30719913690655
288,288,264.96000000000004,-450.8,300.44510039596963
296,296,272.32,-444.36,301.50148496557654
335,335,308.2,-413.08000000000004,306.72670963383837
355,355,326.6,-391.92,309.80557109226515
383,383,352.36,-357.88,314.55470497991485
390,390,358.8,-348.68,315.8195196280211
404,404,371.68,-328.44,318.534146538752
408,408,375.36,-319.24,319.61916190390184
418,418,384.56,-302.68,321.79437660901027
423,423,389.16,-288.88,323.41288105040655
426,426,391.92,-284.28000000000003,324.0446665344107
427,427,392.84000000000003,-282.44,324.28501487986324
427,427,392.84000000000003,-282.44,324.28501487986324
427,427,392.84000000000003,-282.44,324.28501487986324
428,428,393.76,-282.44,324.34851480624985
428,428,393.76,-278.76,324.70364638743763
442,442,406.64000000000004,-241.96,329.2463971019088
447,447,411.24,-222.64000000000001,331.56946054500816
453,453,416.76,-195.04000000000002,334.9208210028169
455,455,418.6,-185.84,336.0608827473615
455,455,418.6,-167.44,338.1985905136482
457,457,420.44,-160.08,339.15596980260574
457,457,420.44,-148.12,340.5927618365378
458,458,421.36,-141.68,341.41506256809055
458,458,421.36,-127.88000000000001,343.1172998245702
457,457,420.44,-111.32000000000001,345.1700740815212
457,457,420.44,-104.88000000000001,345.99326002046126
457,457,420.44,-102.12,346.347889576773
457,457,420.44,-102.12,346.347889576773
458,458,421.36,-102.12,346.37658567875604
457,457,420.44,-103.04,346.22955978790617
457,457,420.44,-98.44,346.8223886865456
455,455,418.6,-89.24000000000001,347.9654546492974
452,452,415.84000000000003,-67.16,350.8256972377836
449,449,413.08000000000004,-44.160000000000004,353.89801383976607
445,445,409.40000000000003,-30.360000000000003,355.75886256544885
438,438,402.96000000000004,-8.280000000000001,358.82285511401795
433,433,398.36,2.7600000000000002,0.3969620975974324
428,428,393.76,16.560000000000002,2.4082164411282183
426,426,391.92,22.080000000000002,3.2245226065199075
417,417,383.64000000000004,40.480000000000004,6.023310233695423
413,413,379.96000000000004,52.440000000000005,7.858007753382141
413,413,379.96000000000004,53.36,7.994100420167404
412,412,379.04,53.36,8.013251844141568
412,412,379.04,52.440000000000005,7.876841462413713
412,412,379.04,53.36,8.013251844141568
412,412,379.04,53.36,8.013251844141568
411,411,378.12,54.28,8.169132170675548
409,409,376.28000000000003,59.800000000000004,9.030166921450371
398,398,366.16,80.96000000000001,12.467822336213182
376,376,345.92,110.4,17.700427788667195
366,366,336.72,123.28,20.108699875134178
349,349,321.08000000000004,144.44,24.22091870300815
343,343,315.56,151.8,25.689860574721756
327,327,300.84000000000003,167.44,29.099215389968467
317,317,291.64,176.64000000000001,31.202377093968373
